"first_name","last_name","gender","past_3_years_bike_related_purchases","DOB","job_title","job_industry_category","wealth_segment","deceased_indicator","owns_car","tenure","address","postcode","state","country","property_valuation","...17","...18","...19","...20","...21","Rank","Value","Age"
"Thaxter","Kingsbury","Male",12,"1950-05-03","Product Engineer","Argiculture","Mass Customer","N","No",20,"3 Vermont Lane",2067,"NSW","Australia",12,0.72,0.72,0.9,0.765,50,50,1.40625,70
"Taylor","Steuhlmeyer","Male",62,"1999-03-22","Paralegal","Financial Services","Affluent Customer","N","Yes",5,"64 Mcguire Trail",4017,"QLD","Australia",8,0.67,0.8375,0.8375,0.8375,52,52,1.39453125,21
"Griswold","Kelsall","Male",55,"1993-12-19","Social Worker","Health","High Net Worth","N","Yes",11,"74127 Blaine Point",3805,"VIC","Australia",7,0.61,0.7625,0.7625,0.7625,52,52,1.39453125,27
"Lavena","Seekings","Female",87,"1995-03-25","Payment Adjustment Coordinator","Retail","Mass Customer","N","No",16,"293 Mayfield Street",3166,"VIC","Australia",10,1.01,1.01,1.2625,1.073125,54,54,1.38125,25
"Martelle","Tuppeny","Female",52,"1981-02-03","Marketing Assistant","Manufacturing","Mass Customer","N","No",9,"261 Grayhawk Way",2226,"NSW","Australia",10,0.79,0.79,0.9875,0.839375,54,54,1.38125,40
"Briant","Ladley","Male",75,"1979-12-17","Recruiter","Argiculture","Mass Customer","N","No",12,"2 Schlimgen Terrace",2750,"NSW","Australia",8,0.69,0.69,0.69,0.5865,57,57,1.375,41
"Marylou","Kirkup","Female",51,"1972-10-31","VP Product Management","n/a","Mass Customer","N","No",14,"76733 Sunbrook Terrace",3196,"VIC","Australia",9,0.87,0.87,1.0875,0.924375,57,57,1.375,48
"Lorrie","Antonelli","Male",47,"1983-02-11","Cost Accountant","Financial Services","High Net Worth","N","Yes",17,"06936 Bobwhite Circle",2257,"NSW","Australia",7,1.08,1.35,1.35,1.35,57,57,1.375,37
"Jedediah","Kedie","Male",31,"1971-12-29","Developer I","Argiculture","Mass Customer","N","Yes",9,"283 Acker Drive",2763,"NSW","Australia",9,0.59,0.7375,0.921875,0.78359375,62,62,1.36796875,49
"Kaine","Smallcombe","Male",59,"1942-02-06","Senior Financial Analyst","Financial Services","High Net Worth","N","No",11,"9 Mosinee Parkway",2072,"NSW","Australia",10,1.05,1.05,1.3125,1.3125,62,62,1.36796875,78
"Loise","Iltchev","Female",70,"1967-03-18","Electrical Engineer","Manufacturing","High Net Worth","N","Yes",17,"45 Becker Place",4504,"QLD","Australia",6,0.55,0.6875,0.6875,0.6875,62,62,1.36796875,53
"Cristen","Maroney","Female",22,"1999-11-21","Accountant IV","IT","High Net Worth","N","Yes",7,"27 Karstens Crossing",4214,"QLD","Australia",7,0.52,0.65,0.65,0.65,65,65,1.3625,21
"Dorothy","Barnardo","Female",58,"1983-02-01","Human Resources Manager","Retail","High Net Worth","N","No",12,"9630 Cottonwood Avenue",2168,"NSW","Australia",8,1.03,1.03,1.03,1.03,65,65,1.3625,38
"Rosmunda","Duxbarry","Female",69,"1996-07-20","Executive Secretary","Property","Affluent Customer","N","Yes",5,"989 Graedel Terrace",4208,"QLD","Australia",11,0.61,0.7625,0.953125,0.953125,65,65,1.3625,24
"Rozamond","Riha","Female",54,"1984-10-07","Account Representative I","Manufacturing","Affluent Customer","N","Yes",16,"76 Bartelt Center",4078,"QLD","Australia",7,0.68,0.85,0.85,0.85,68,68,1.3546875,36
"Gunner","Petti","Male",62,"1999-06-08","Executive Secretary","Financial Services","High Net Worth","N","Yes",3,"29778 Mendota Drive",4036,"QLD","Australia",5,0.52,0.65,0.65,0.65,68,68,1.3546875,21
"Vivienne","Crayden","Female",82,"1988-09-18","Associate Professor","n/a","High Net Worth","N","Yes",6,"69 Algoma Center",4173,"QLD","Australia",7,0.82,1.025,1.28125,1.28125,68,68,1.3546875,32
"Sherilyn","Canero","Female",11,"1996-08-03","Dental Hygienist","Health","High Net Worth","N","Yes",13,"8288 Lyons Way",2484,"NSW","Australia",7,0.6,0.75,0.75,0.75,68,68,1.3546875,24
"Bessie","Roscow","Female",78,"1994-08-04","GIS Technical Architect","Financial Services","Mass Customer","N","No",9,"4185 Florence Trail",2121,"NSW","Australia",10,0.64,0.64,0.8,0.68,72,72,1.35,26
"Kevina","Ferandez","Female",73,"1999-09-21","Assistant Professor","Financial Services","High Net Worth","N","No",15,"9608 Heffernan Drive",4068,"QLD","Australia",9,0.64,0.64,0.8,0.8,72,72,1.35,21
"Yancy","Clementet","Male",5,"1968-02-16","Mechanical Systems Engineer","n/a","High Net Worth","N","No",15,"9 Union Center",2147,"NSW","Australia",9,0.53,0.53,0.6625,0.6625,72,72,1.35,52
"Hasheem","Groucock","Male",98,"1974-09-17","Budget/Accounting Analyst IV","Manufacturing","High Net Worth","N","Yes",10,"12351 Spenser Pass",2034,"NSW","Australia",12,0.74,0.925,1.15625,1.15625,72,72,1.35,46
"Tobias","Woodhams","Male",0,"1961-04-15","Research Nurse","Health","Mass Customer","N","No",17,"4 Valley Edge Plaza",2759,"NSW","Australia",9,0.51,0.51,0.6375,0.541875,77,77,1.34140625,59
"Glennis","Flintoff","Female",36,"1956-10-22","Speech Pathologist","Health","Affluent Customer","N","Yes",13,"1601 Rutledge Lane",3030,"VIC","Australia",7,0.54,0.675,0.675,0.675,78,78,1.3375,64
"Chanda","Mensler","Female",15,"1972-01-14","Computer Systems Analyst IV","Manufacturing","Mass Customer","N","Yes",13,"0 Mockingbird Plaza",2212,"NSW","Australia",10,0.93,1.1625,1.453125,1.23515625,78,78,1.3375,49
"Katheryn","Kinner","Female",15,"1973-11-28","Analyst Programmer","Entertainment","High Net Worth","N","No",6,"1665 Kenwood Center",2518,"NSW","Australia",6,0.78,0.78,0.78,0.78,78,78,1.3375,47
"Sumner","Carrivick","Male",53,"1995-04-09","Desktop Support Technician","Manufacturing","Mass Customer","N","No",15,"5 4th Center",2097,"NSW","Australia",12,0.56,0.56,0.7,0.595,78,78,1.3375,25
"Valerie","Pickover","Female",34,"1965-09-08","Editor","Financial Services","Mass Customer","N","No",9,"92214 Spenser Road",2756,"NSW","Australia",8,0.42,0.42,0.42,0.357,78,78,1.3375,55
"Sean","O'Loughlin","Male",48,"1961-03-22","Database Administrator III","Manufacturing","High Net Worth","N","Yes",16,"83 Old Gate Point",2576,"NSW","Australia",10,1.1,1.375,1.71875,1.71875,85,85,1.325,59
"Pietra","Buckleigh","Female",9,"1949-04-29","Engineer III","n/a","High Net Worth","N","No",13,"387 Dixon Alley",2024,"NSW","Australia",10,1.03,1.03,1.2875,1.2875,85,85,1.325,71
"Marysa","Rouchy","Female",8,"1999-02-15","Assistant Media Planner","Entertainment","Affluent Customer","N","No",5,"411 Twin Pines Way",2026,"NSW","Australia",9,0.66,0.66,0.825,0.825,85,85,1.325,21
"Ossie","Midden","Male",49,"1950-02-10","Physical Therapy Assistant","Manufacturing","Mass Customer","N","Yes",14,"4915 Debra Center",2479,"NSW","Australia",9,0.44,0.55,0.6875,0.584375,89,89,1.3125,70
"Sid","Carlone","Male",24,"1971-08-18","Structural Engineer","Health","Affluent Customer","N","No",16,"76 Sunnyside Avenue",4670,"QLD","Australia",2,0.86,0.86,0.86,0.86,89,89,1.3125,49
"Ludovico","Juster","Male",93,"1992-04-19","Environmental Specialist","n/a","Affluent Customer","N","No",15,"1 Talisman Avenue",2125,"NSW","Australia",10,0.81,0.81,1.0125,1.0125,89,89,1.3125,28
"Levy","Abramamov","Male",94,"1952-09-21","Teacher","n/a","Affluent Customer","N","Yes",14,"6776 Anderson Center",4037,"QLD","Australia",8,1.03,1.2875,1.609375,1.609375,89,89,1.3125,68
"Symon","Mawne","Male",18,"1943-02-08","Human Resources Assistant IV","Property","Mass Customer","N","Yes",15,"37439 High Crossing Circle",3350,"VIC","Australia",4,0.98,1.225,1.225,1.04125,96,96,1.3,77
"Karlik","Penchen","Male",60,"1994-10-31","Nurse Practicioner","Retail","Mass Customer","N","No",11,"5 Nevada Point",4017,"QLD","Australia",6,0.72,0.72,0.72,0.612,96,96,1.3,26
"Bengt","Bilson","Male",26,"1972-11-02","Structural Engineer","Manufacturing","High Net Worth","N","No",11,"67 Grayhawk Circle",2232,"NSW","Australia",10,0.4,0.4,0.5,0.5,99,99,1.296875,48
"Evangelin","Boc","Female",30,"2000-05-09","Structural Analysis Engineer","Manufacturing","High Net Worth","N","Yes",14,"0 Meadow Ridge Street",3173,"VIC","Australia",8,0.86,1.075,1.075,1.075,99,99,1.296875,20
"Hanny","Treven","Female",84,"1991-01-22","Associate Professor","Retail","Mass Customer","N","No",3,"5 Quincy Street",4118,"QLD","Australia",4,0.54,0.54,0.675,0.57375,99,99,1.296875,30
"Gina","Mallon","Female",56,"1994-02-11","Dental Hygienist","Health","Mass Customer","N","No",12,"13025 Johnson Plaza",4670,"QLD","Australia",2,0.83,0.83,0.83,0.7055,102,102,1.28828125,26
"Reynold","Elman","Male",19,"1940-01-18","Marketing Manager","Manufacturing","Mass Customer","N","No",9,"966 Sunnyside Center",2390,"NSW","Australia",2,0.79,0.79,0.79,0.6715,102,102,1.28828125,81
"Flossy","Concannon","Female",64,"1980-10-20","Staff Accountant IV","Financial Services","Affluent Customer","N","No",8,"802 Mallory Park",3919,"VIC","Australia",2,0.66,0.66,0.66,0.66,104,104,1.2875,40
"Cristen","Wiltshire","Female",59,"1961-10-20","VP Sales","Financial Services","High Net Worth","N","Yes",15,"93 Judy Drive",3047,"VIC","Australia",6,0.69,0.8625,0.8625,0.8625,104,104,1.2875,59
"Griffith","Escot","Male",50,"1946-10-23","Accountant III","IT","Mass Customer","N","Yes",16,"94 Manitowish Court",4116,"QLD","Australia",3,0.44,0.55,0.55,0.4675,104,104,1.2875,74
"Jamie","Jiruca","Female",21,"1963-06-16","Recruiting Manager","Argiculture","Mass Customer","N","No",18,"5013 Erie Crossing",2230,"NSW","Australia",9,0.72,0.72,0.9,0.765,104,104,1.2875,57
"Lyon","Brittan","Male",14,"1972-04-23","Sales Representative","Retail","High Net Worth","N","No",19,"540 Sachs Road",3153,"VIC","Australia",8,0.67,0.67,0.67,0.67,104,104,1.2875,48
"Aridatha","Sephton","Female",95,"1961-10-22","Human Resources Assistant II","n/a","Mass Customer","N","No",5,"422 Forster Circle",2340,"NSW","Australia",1,0.99,0.99,1.2375,1.051875,104,104,1.2875,59
"Franciska","Stigell","Female",95,"1968-11-15","Food Chemist","Health","Mass Customer","N","Yes",7,"6 Anderson Junction",3802,"VIC","Australia",7,0.81,1.0125,1.265625,1.07578125,111,111,1.28125,52
"Jordan","Clampe","Male",37,"1939-12-09","Staff Scientist","Financial Services","Mass Customer","N","Yes",11,"276 Westend Road",4207,"QLD","Australia",5,0.49,0.6125,0.6125,0.520625,111,111,1.28125,81
"David","Napoleon","Male",72,"1961-11-05","Structural Engineer","n/a","High Net Worth","N","No",14,"69 Garrison Point",2223,"NSW","Australia",11,0.58,0.58,0.725,0.725,111,111,1.28125,59
"Meriel","Tapp","Female",0,"1995-08-13","VP Sales","IT","Mass Customer","N","No",5,"65 Milwaukee Hill",3280,"VIC","Australia",2,0.53,0.53,0.53,0.4505,114,114,1.275,25
"Rollo","Louedey","Male",64,"1946-07-09","Information Systems Manager","Telecommunications","Affluent Customer","N","Yes",17,"7 Cascade Park",2089,"NSW","Australia",9,0.41,0.5125,0.640625,0.640625,114,114,1.275,74
"Jerrine","Cosbey","Female",21,"1978-01-11","Junior Executive","Financial Services","High Net Worth","N","Yes",6,"29307 Russell Avenue",3094,"VIC","Australia",9,0.55,0.6875,0.859375,0.859375,114,114,1.275,43
"Roddy","Rubinshtein","Male",37,"1987-10-08","Nurse Practicioner","Retail","Mass Customer","N","Yes",4,"3 Mcguire Crossing",4510,"QLD","Australia",7,0.77,0.9625,0.9625,0.818125,114,114,1.275,33
"Viki","Coutts","Female",2,"1952-12-14","Automation Specialist II","Property","Mass Customer","N","Yes",7,"6 Golf View Alley",2287,"NSW","Australia",4,0.79,0.9875,0.9875,0.839375,120,120,1.2625,68
"Ashby","Bispham","Male",71,"1981-10-29","Software Consultant","Retail","Affluent Customer","N","No",4,"83716 Russell Lane",2145,"NSW","Australia",8,0.92,0.92,0.92,0.92,120,120,1.2625,39
"Alexander","Broadbent","Male",57,"1997-05-28","Desktop Support Technician","n/a","Mass Customer","N","No",9,"265 Stephen Trail",2209,"NSW","Australia",10,0.56,0.56,0.7,0.595,120,120,1.2625,23
"Teddy","Lagadu","Female",86,"1969-07-20","Design Engineer","n/a","High Net Worth","N","No",6,"2 Charing Cross Trail",2759,"NSW","Australia",8,0.77,0.77,0.9625,0.9625,120,120,1.2625,51
"Peria","Rantoull","Female",3,"1975-03-13","Financial Analyst","Financial Services","Mass Customer","N","No",4,"8350 Moulton Terrace",4500,"QLD","Australia",4,0.82,0.82,0.82,0.697,120,120,1.2625,45
"Ludvig","Andren","Male",44,"1941-02-22","Media Manager III","n/a","High Net Worth","N","Yes",15,"578 Waywood Circle",4306,"QLD","Australia",5,0.84,1.05,1.05,1.05,125,125,1.26171875,79
"Rebeca","Aggas","Female",66,"1953-02-27","Social Worker","Health","Affluent Customer","N","No",21,"7026 Katie Lane",3818,"VIC","Australia",1,0.97,0.97,0.97,0.97,127,127,1.25,67
"Ricki","Dobrowski","Male",13,"1975-03-10","Civil Engineer","Manufacturing","Mass Customer","N","Yes",9,"8 Eggendart Pass",2835,"NSW","Australia",1,0.97,1.2125,1.2125,1.030625,127,127,1.25,45
"Georgetta","Lovett","Female",42,"1940-02-02","Editor","Retail","Mass Customer","N","No",12,"1 Bluejay Place",4405,"QLD","Australia",1,0.69,0.69,0.69,0.5865,127,127,1.25,81
"Bambi","Cogger","Female",51,"1990-07-12","Design Engineer","Retail","Affluent Customer","N","Yes",5,"28970 Monument Lane",2560,"NSW","Australia",7,0.43,0.5375,0.5375,0.5375,127,127,1.25,30
"Aurie","Rhead","Female",78,"1962-07-28","Geological Engineer","Manufacturing","Affluent Customer","N","Yes",5,"235 Mendota Court",2650,"NSW","Australia",2,0.65,0.8125,0.8125,0.8125,127,127,1.25,58
"Farris","Skettles","Male",38,"1965-07-03","Payment Adjustment Coordinator","n/a","Mass Customer","N","Yes",13,"49309 Redwing Lane",3240,"VIC","Australia",7,0.79,0.9875,0.9875,0.839375,132,132,1.2484375,55
"Lacy","Drance","Female",27,"1978-02-05","Graphic Designer","Manufacturing","Affluent Customer","N","Yes",14,"492 Waywood Lane",2750,"NSW","Australia",8,0.77,0.9625,0.9625,0.9625,133,133,1.2375,43
"Padraig","Snel","Male",89,"1970-11-08","Staff Accountant II","n/a","Mass Customer","N","No",19,"12683 Mifflin Point",2114,"NSW","Australia",7,0.6,0.6,0.75,0.6375,133,133,1.2375,50
"Malorie","Votier","Female",90,"1990-05-29","Graphic Designer","Manufacturing","Affluent Customer","N","No",4,"6160 Weeping Birch Hill",4509,"QLD","Australia",5,0.81,0.81,1.0125,1.0125,133,133,1.2375,30
"Shepperd","Ricards","Male",28,"1967-09-27","Social Worker","Health","Mass Customer","N","Yes",16,"7 Oakridge Lane",2284,"NSW","Australia",4,0.99,1.2375,1.2375,1.051875,133,133,1.2375,53
"Daryl","Pauncefort","Female",12,"1979-06-18","Community Outreach Specialist","Financial Services","Mass Customer","N","Yes",12,"0 Dexter Parkway",2380,"NSW","Australia",3,1.05,1.3125,1.3125,1.115625,133,133,1.2375,41
"Norina","Blakeway","Female",60,"1980-02-11","Programmer Analyst II","Property","Mass Customer","N","Yes",3,"75813 Lawn Lane",3081,"VIC","Australia",8,0.77,0.9625,0.9625,0.818125,133,133,1.2375,40
"My","Chaston","Male",92,"1966-07-16","Desktop Support Technician","Manufacturing","Affluent Customer","N","Yes",16,"74613 Northport Park",3765,"VIC","Australia",9,0.72,0.9,1.125,1.125,133,133,1.2375,54
"Isak","Bergstram","Male",14,"2001-03-08","Pharmacist","Health","Affluent Customer","N","Yes",15,"68 Karstens Pass",2176,"NSW","Australia",9,0.55,0.6875,0.859375,0.859375,142,142,1.23515625,19
"Grannie","Cracker","Male",28,"1949-03-06","VP Marketing","Retail","Mass Customer","N","Yes",20,"87254 Hermina Pass",4217,"QLD","Australia",8,0.92,1.15,1.15,0.9775,142,142,1.23515625,71
"Welby","Lourenco","Male",6,"1975-12-27","Senior Cost Accountant","Financial Services","High Net Worth","N","Yes",17,"801 Atwood Alley",2138,"NSW","Australia",9,0.44,0.55,0.6875,0.6875,144,144,1.234375,45
"Glenn","Casbourne","Female",4,"1981-08-08","Senior Editor","Manufacturing","Mass Customer","N","No",6,"2 Morrow Alley",4207,"QLD","Australia",1,1.06,1.06,1.06,0.901,144,144,1.234375,39
"Nadiya","Balasini","Female",40,"1950-11-05","Sales Associate","Financial Services","Mass Customer","N","No",15,"92934 Mallory Trail",2164,"NSW","Australia",9,1.07,1.07,1.3375,1.136875,146,146,1.225,70
"Tyne","Coate","Female",82,"1965-07-15","Developer II","Manufacturing","Mass Customer","N","No",17,"90820 Thackeray Street",2218,"NSW","Australia",8,1.06,1.06,1.325,1.12625,146,146,1.225,55
"Christie","Anders","Male",38,"1969-10-02","VP Marketing","Retail","Mass Customer","N","No",16,"48 Ludington Plaza",2153,"NSW","Australia",10,0.43,0.43,0.5375,0.456875,146,146,1.225,51
"Agnella","Capener","Female",58,"1969-05-21","Teacher","Health","High Net Worth","N","No",19,"49185 Derek Circle",3977,"VIC","Australia",6,0.46,0.46,0.46,0.46,146,146,1.225,51
"Daisy","Spowart","Female",60,"1967-12-18","Staff Accountant I","Health","Affluent Customer","N","Yes",4,"115 Westridge Road",4570,"QLD","Australia",3,0.85,1.0625,1.0625,1.0625,146,146,1.225,53
"Denys","Minshall","Female",30,"1961-12-26","Environmental Tech","Manufacturing","Affluent Customer","N","Yes",14,"7 Myrtle Lane",2324,"NSW","Australia",8,1.06,1.325,1.325,1.325,152,152,1.221875,59
"Archibald","Blessed","Male",61,"1969-02-10","VP Sales","Financial Services","Mass Customer","N","Yes",18,"7795 Memorial Drive",2016,"NSW","Australia",11,0.84,1.05,1.3125,1.115625,153,153,1.21875,51
"Feodor","Englishby","Male",54,"1961-08-14","Account Coordinator","Health","Mass Customer","N","No",11,"24695 Boyd Road",3201,"VIC","Australia",5,0.84,0.84,0.84,0.714,154,154,1.203125,59
"Skippie","Yearsley","Male",6,"1956-09-04","Compensation Analyst","Financial Services","Mass Customer","N","No",9,"95306 John Wall Avenue",4350,"QLD","Australia",5,0.41,0.41,0.41,0.3485,155,155,1.2,64
"Roseanne","Caruth","Female",16,"1957-05-25","Programmer Analyst III","Health","Mass Customer","N","No",7,"33652 Lyons Alley",2763,"NSW","Australia",9,0.61,0.61,0.7625,0.648125,158,158,1.1875,63
"Tedra","Goodbanne","Female",4,"1978-01-15","Senior Quality Engineer","n/a","Mass Customer","N","Yes",6,"8 Debs Road",3934,"VIC","Australia",9,0.77,0.9625,1.203125,1.02265625,158,158,1.1875,43
"Roberto","Harme","Male",27,"1951-06-11","Environmental Tech","n/a","High Net Worth","N","No",10,"101 Starling Pass",2564,"NSW","Australia",9,0.67,0.67,0.8375,0.8375,158,158,1.1875,69
"Nichole","Leisman","Male",37,"1986-08-07","Geologist III","Property","Affluent Customer","N","No",4,"35151 Bunker Hill Crossing",2068,"NSW","Australia",12,0.58,0.58,0.725,0.725,158,158,1.1875,34
"Amil","Ennor","Female",23,"1995-08-04","Health Coach II","Health","Mass Customer","N","Yes",10,"2093 Amoth Pass",3109,"VIC","Australia",11,0.47,0.5875,0.734375,0.62421875,158,158,1.1875,25
"Shawna","Hinrichsen","Female",60,"1969-08-27","Assistant Professor","Manufacturing","Affluent Customer","N","Yes",9,"57343 Eagan Avenue",2326,"NSW","Australia",2,0.57,0.7125,0.7125,0.7125,163,163,1.18203125,51
"Fonsie","Levane","Male",96,"1951-07-10","Account Representative III","n/a","High Net Worth","N","Yes",19,"83 Armistice Terrace",4011,"QLD","Australia",3,0.47,0.5875,0.734375,0.734375,163,163,1.18203125,69
"Emilie","Brody","Female",3,"1979-05-22","Director of Sales","n/a","Mass Customer","N","Yes",3,"5388 Burrows Alley",2073,"NSW","Australia",11,1.04,1.3,1.625,1.38125,163,163,1.18203125,41
"Robert","Corkill","Male",55,"1976-03-12","Clinical Specialist","Health","Mass Customer","N","No",4,"5612 Toban Point",2227,"NSW","Australia",10,0.74,0.74,0.925,0.78625,166,166,1.175,44
